timestamp,gesto,deslocamento_medio_x,deslocamento_acumulado_x,slide_atual
2026-04-09 16:39:47,direita,5.317,20.2796,2
2026-04-09 16:39:48,esquerda,-6.0505,-22.8169,1
2026-04-09 16:39:50,direita,5.3497,24.7506,2
2026-04-09 16:39:52,esquerda,-25.6472,-40.6558,1
2026-04-09 16:39:53,direita,5.6441,25.6383,2
2026-04-09 16:39:55,esquerda,-13.0314,-29.9253,1
2026-04-09 16:39:56,direita,24.1686,29.9607,2
2026-04-09 16:39:59,esquerda,-6.8428,-23.6719,1
2026-04-09 16:40:00,direita,31.5297,37.9978,2
2026-04-09 16:40:01,esquerda,-26.9136,-38.4889,1
2026-04-09 16:40:02,direita,0.0101,37.9666,2
2026-04-09 16:40:03,esquerda,-9.4407,-25.9282,1
2026-04-09 16:40:08,esquerda,-43.9427,-43.9427,1
2026-04-09 16:40:11,direita,37.9207,53.1431,2
2026-04-09 16:40:13,esquerda,-3.1271,-22.1812,1
2026-04-09 16:40:14,direita,31.0004,45.4735,2
2026-04-09 16:40:16,direita,18.519,20.3131,3
2026-04-09 16:40:17,direita,4.1288,22.3874,4
2026-04-09 16:40:25,direita,34.7666,23.9645,5
2026-04-09 16:40:26,direita,14.4545,97.4774,6
2026-04-09 16:40:27,esquerda,-4.115,-20.1091,5
