timestamp,gesto,deslocamento_medio_x,deslocamento_acumulado_x
2026-04-09 16:39:24,esquerda,-6.642,-26.6094
2026-04-09 16:39:28,direita,11.0286,22.56
2026-04-09 16:39:29,esquerda,-11.9418,-53.397
2026-04-09 16:39:31,direita,3.5916,20.1936
