timestamp,gesto,deslocamento_medio_x,deslocamento_acumulado_x
2026-04-10 09:29:03,direita,6.6612,22.7737
2026-04-10 09:29:04,esquerda,-20.7945,-21.2908
2026-04-10 09:29:05,esquerda,-3.2908,-162.4797
2026-04-10 09:29:06,direita,4.829,50.6381
