algoritmos,tempo_s,kp_img1,kp_img2,matches_bons,nitidez_laplaciano,contraste_std,largura,altura,arquivo_panorama,arquivo_matches
ORB + BF,1.7326,3428,3642,138,590.4586,67.09,766,837,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\panorama_ORB_BF_20260409_163458.jpg,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\matches_ORB_BF_20260409_163458.jpg
ORB + FLANN,0.0509,3428,3642,171,599.1737,67.548,750,842,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\panorama_ORB_FLANN_20260409_163458.jpg,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\matches_ORB_FLANN_20260409_163458.jpg
SIFT + BF,0.0618,1062,1012,123,634.1723,69.6395,789,757,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\panorama_SIFT_BF_20260409_163458.jpg,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\matches_SIFT_BF_20260409_163458.jpg
SIFT + FLANN,0.0609,1062,1012,131,599.9392,69.2755,794,791,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\panorama_SIFT_FLANN_20260409_163458.jpg,c:\Users\julia\OneDrive\Documentos\visao computacional\Trabalho1\resultados_trabalho\panoramicas\matches_SIFT_FLANN_20260409_163458.jpg
